P1,P2,D1,D2,15m,12m,9m,6m,3m,DTR,GPS
0,6,0,15,0,0,0,0,0,1,A
0,6,15,30,0,0,0,0,0,1,B
0,6,30,45,0,0,0,0,0,1,C
0,6,45,75,0,0,0,0,0,1,D
0,6,75,105,0,0,0,0,0,1,E
0,6,105,135,0,0,0,0,0,1,F
0,6,135,180,0,0,0,0,0,1,G
0,6,180,240,0,0,0,0,0,1,H
0,6,240,315,0,0,0,0,0,1,I
0,6,315,360,0,0,0,0,0,1,J
6,8,0,15,0,0,0,0,0,1,B
6,8,15,30,0,0,0,0,0,1,C
6,8,30,45,0,0,0,0,0,1,D
6,8,45,60,0,0,0,0,0,1,E
6,8,60,90,0,0,0,0,0,1,F
6,8,90,105,0,0,0,0,0,1,G
6,8,105,135,0,0,0,0,0,1,H
6,8,135,165,0,0,0,0,0,1,I
6,8,165,195,0,0,0,0,0,1,J
6,8,195,255,0,0,0,0,0,1,K
6,8,255,300,0,0,0,0,0,1,L
6,8,300,360,0,0,0,0,0,1,M
8,10,0,15,0,0,0,0,0,1,B
8,10,15,30,0,0,0,0,0,1,C
8,10,30,45,0,0,0,0,0,1,D
8,10,45,60,0,0,0,0,0,1,F
8,10,60,75,0,0,0,0,0,1,G
8,10,75,105,0,0,0,0,0,1,H
8,10,105,120,0,0,0,0,0,1,I
8,10,120,135,0,0,0,0,0,1,J
8,10,135,165,0,0,0,0,0,1,K
8,10,165,180,0,0,0,0,0,1,L
8,10,180,240,0,0,0,0,0,1,M
8,10,240,255,0,0,0,0,0,1,N
8,10,255,315,0,0,0,0,0,1,O
8,10,315,330,0,0,0,0,0,1,P
8,10,330,360,0,0,0,0,1,2,P
10,12,0,5,0,0,0,0,0,1,A
10,12,5,10,0,0,0,0,0,1,B
10,12,10,15,0,0,0,0,0,1,B
10,12,15,20,0,0,0,0,0,1,C
10,12,20,25,0,0,0,0,0,1,C
10,12,25,30,0,0,0,0,0,1,D
10,12,30,35,0,0,0,0,0,1,D
10,12,35,40,0,0,0,0,0,1,E
10,12,40,45,0,0,0,0,0,1,E
10,12,45,50,0,0,0,0,0,1,F
10,12,50,55,0,0,0,0,0,1,F
10,12,55,60,0,0,0,0,0,1,G
10,12,60,65,0,0,0,0,0,1,G
10,12,65,70,0,0,0,0,0,1,H
10,12,70,75,0,0,0,0,0,1,H
10,12,75,80,0,0,0,0,0,1,H
10,12,80,85,0,0,0,0,0,1,I
10,12,85,90,0,0,0,0,0,1,I
10,12,90,95,0,0,0,0,0,1,J
10,12,95,100,0,0,0,0,0,1,J
10,12,100,105,0,0,0,0,0,1,J
10,12,105,110,0,0,0,0,0,1,K
10,12,110,115,0,0,0,0,0,1,K
10,12,115,120,0,0,0,0,0,1,K
10,12,120,130,0,0,0,0,0,1,L
10,12,130,135,0,0,0,0,0,1,L
10,12,135,140,0,0,0,0,2,4,L
10,12,140,150,0,0,0,0,4,6,M
10,12,150,160,0,0,0,0,6,8,M
10,12,160,170,0,0,0,0,7,9,N
10,12,170,180,0,0,0,0,9,11,N
10,12,180,190,0,0,0,0,11,13,N
10,12,190,200,0,0,0,0,13,15,O
10,12,200,210,0,0,0,0,14,16,O
10,12,210,220,0,0,0,0,15,17,O
10,12,220,230,0,0,0,0,16,18,O
10,12,230,240,0,0,0,0,17,19,O
10,12,240,250,0,0,0,0,18,20,P
10,12,250,255,0,0,0,0,19,21,P
10,12,255,270,0,0,0,0,22,24,P
12,15,0,5,0,0,0,0,0,1,A
12,15,5,10,0,0,0,0,0,1,B
12,15,10,15,0,0,0,0,0,1,C
12,15,15,20,0,0,0,0,0,1,C
12,15,20,25,0,0,0,0,0,1,D
12,15,25,30,0,0,0,0,0,1,E
12,15,30,35,0,0,0,0,0,1,E
12,15,35,40,0,0,0,0,0,1,F
12,15,40,45,0,0,0,0,0,1,G
12,15,45,50,0,0,0,0,0,1,G
12,15,50,55,0,0,0,0,0,1,H
12,15,55,60,0,0,0,0,0,1,H
12,15,60,65,0,0,0,0,0,1,I
12,15,65,70,0,0,0,0,0,1,I
12,15,70,75,0,0,0,0,0,1,J
12,15,75,80,0,0,0,0,2,4,J
12,15,80,85,0,0,0,0,4,6,K
12,15,85,90,0,0,0,0,6,8,K
12,15,90,95,0,0,0,0,8,10,L
12,15,95,100,0,0,0,0,11,13,L
12,15,100,105,0,0,0,0,13,15,L
12,15,105,110,0,0,0,0,15,17,M
12,15,110,115,0,0,0,0,17,19,M
12,15,115,120,0,0,0,0,18,20,M
15,18,0,5,0,0,0,0,0,2,B
15,18,5,10,0,0,0,0,0,2,B
15,18,10,15,0,0,0,0,0,2,C
15,18,15,20,0,0,0,0,0,2,D
15,18,20,25,0,0,0,0,0,2,E
15,18,25,30,0,0,0,0,0,2,F
15,18,30,35,0,0,0,0,0,2,F
15,18,35,40,0,0,0,0,0,2,G
15,18,40,45,0,0,0,0,0,2,H
15,18,45,50,0,0,0,0,0,2,H
15,18,50,55,0,0,0,0,1,3,I
15,18,55,60,0,0,0,0,5,7,J
15,18,60,65,0,0,0,0,8,10,J
15,18,65,70,0,0,0,0,11,13,K
15,18,70,75,0,0,0,0,14,16,K
15,18,75,80,0,0,0,0,17,19,L
15,18,80,85,0,0,0,0,21,23,L
15,18,85,90,0,0,0,0,23,25,M
15,18,90,95,0,0,0,0,26,28,M
15,18,95,100,0,0,0,0,28,30,M
15,18,100,105,0,0,0,0,31,33,N
15,18,105,110,0,0,0,0,34,36,N
15,18,110,115,0,0,0,0,36,38,N
15,18,115,120,0,0,0,0,38,40,O
18,20,0,5,0,0,0,0,0,2,B
18,20,5,10,0,0,0,0,0,2,B
18,20,10,15,0,0,0,0,0,2,D
18,20,15,20,0,0,0,0,0,2,D
18,20,20,25,0,0,0,0,0,2,E
18,20,25,30,0,0,0,0,0,2,F
18,20,30,35,0,0,0,0,0,2,G
18,20,35,40,0,0,0,0,0,2,H
18,20,40,45,0,0,0,0,1,3,I
18,20,45,50,0,0,0,0,4,6,I
18,20,50,55,0,0,0,0,9,11,J
18,20,55,60,0,0,0,0,13,15,K
18,20,60,65,0,0,0,0,16,18,K
18,20,65,70,0,0,0,0,20,22,L
18,20,70,75,0,0,0,0,24,26,L
18,20,75,80,0,0,0,0,27,29,M
18,20,80,85,0,0,0,0,30,32,M
18,20,85,90,0,0,0,0,34,36,M
20,22,0,5,0,0,0,0,0,2,B
20,22,5,10,0,0,0,0,0,2,C
20,22,10,15,0,0,0,0,0,2,D
20,22,15,20,0,0,0,0,0,2,E
20,22,20,25,0,0,0,0,0,2,F
20,22,25,30,0,0,0,0,0,2,G
20,22,30,35,0,0,0,0,0,2,H
20,22,35,40,0,0,0,0,2,4,I
20,22,40,45,0,0,0,0,7,9,I
20,22,45,50,0,0,0,0,12,14,J
20,22,50,55,0,0,0,0,16,18,K
20,22,55,60,0,0,0,0,20,22,K
20,22,60,65,0,0,0,0,25,27,L
20,22,65,70,0,0,0,0,29,31,L
20,22,70,75,0,0,0,0,33,35,M
20,22,75,80,0,0,0,0,37,39,M
20,22,80,85,0,0,0,0,41,43,N
20,22,85,90,0,0,0,0,44,46,N
22,25,0,5,0,0,0,0,0,2,B
22,25,5,10,0,0,0,0,0,2,C
22,25,10,15,0,0,0,0,0,2,D
22,25,15,20,0,0,0,0,0,2,E
22,25,20,25,0,0,0,0,1,3,F
22,25,25,30,0,0,0,0,2,4,H
22,25,30,35,0,0,0,0,5,7,I
22,25,35,40,0,0,0,0,10,12,J
22,25,40,45,0,0,0,0,16,18,J
22,25,45,50,0,0,0,0,21,23,K
22,25,50,55,0,0,0,0,27,29,L
22,25,55,60,0,0,0,0,32,34,L
22,25,60,65,0,0,0,0,37,39,M
22,25,65,70,0,0,0,1,41,45,M
22,25,70,75,0,0,0,4,43,50,N
22,25,75,80,0,0,0,7,45,55,N
22,25,80,85,0,0,0,9,48,60,O
22,25,85,90,0,0,0,11,50,64,O
25,28,0,5,0,0,0,0,0,2,B
25,28,5,10,0,0,0,0,0,2,D
25,28,10,15,0,0,0,0,0,2,E
